"y.level","term","estimate"
"1","concomitant",4.76873994591355
"1","SEXMale:DESCRIPTIONBakery Prod/Dough/Mix/Icing",0.625283685036453
"1","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",1.30474585364295
"1","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",0.344136538625192
"1","SEXMale:DESCRIPTIONCoffee/Tea",0.522269654836466
"1","SEXMale:DESCRIPTIONCosmetics",6.00155079808611
"1","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",0.594293835861717
"1","SEXMale:DESCRIPTIONDressing/Condiment",1.46096499114013
"1","SEXMale:DESCRIPTIONEgg/Egg Prod",4.56508334636153
"1","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",1.49438439640618
"1","SEXMale:DESCRIPTIONFood Additives (Human Use)",1.41190768996601
"1","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",0.0731933828030126
"1","SEXMale:DESCRIPTIONIce Cream Prod",0.755771392259479
"1","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",1.4194051117099
"1","SEXMale:DESCRIPTIONMeat, Meat Products and Poultry",2.02428409995204
"1","SEXMale:DESCRIPTIONMedical Foods, N.E.C.",0.265209761894627
"1","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",0.464854174502813
"1","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",0.87668552281976
"1","SEXMale:DESCRIPTIONNuts/Edible Seed",0.400415141861297
"1","SEXMale:DESCRIPTIONSnack Food Item",0.274908681674045
"1","SEXMale:DESCRIPTIONSoup",0.0980924396804822
"1","SEXMale:DESCRIPTIONSpices, Flavors And Salts",0.462531273389655
"1","SEXMale:DESCRIPTIONVegetable Oils",1.00919873168176
"1","SEXMale:DESCRIPTIONVegetable Protein Prod",1.32455731125077
"1","SEXMale:DESCRIPTIONVegetables/Vegetable Products",2.1447668312447
"1","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",0.385041399348784
"1","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",0.147112384311861
"2","SEXMale",0.880571872532036
"2","age_in_years",0.0450487964847068
"2","concomitant",0.435443106372256
"2","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",0.39387047558381
"2","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",1.40299421857838
"2","SEXMale:DESCRIPTIONChoc/Cocoa Prod",2.00078240302813
"2","SEXMale:DESCRIPTIONCosmetics",1.12698639877698
"2","SEXMale:DESCRIPTIONFood Sweeteners (Nutritive)",2.43919944055375
"2","SEXMale:DESCRIPTIONMiscellaneous Food Related Items",3.30216941887022
"2","SEXMale:DESCRIPTIONPowder Formula",0.0119975981564682
"2","SEXMale:DESCRIPTIONSoft Drink/Water",0.189404018599084
"2","SEXMale:DESCRIPTIONSpices, Flavors And Salts",0.650390875493398
"2","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",0.496746887589557
"3","SEXMale",0.274656236173709
"3","concomitant",4.08306495226331
"3","SEXMale:DESCRIPTIONBaby Food Products",1.46298015037523
"3","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",0.694942613420778
"3","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",1.50537914737153
"3","SEXMale:DESCRIPTIONCosmetics",6.19719521961258
"3","SEXMale:DESCRIPTIONDressing/Condiment",0.205405021725804
"3","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",0.368338084352247
"3","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",1.80527609003131
"3","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",1.13057433115563
"3","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",0.0461668842063382
"3","SEXMale:DESCRIPTIONPowder Formula",1.07181223460888
"3","SEXMale:DESCRIPTIONPrep Salad Prod",0.0562094749780398
"3","SEXMale:DESCRIPTIONSpices, Flavors And Salts",0.477769255510362
"3","SEXMale:DESCRIPTIONVegetables/Vegetable Products",0.107608428780724
"4","age_in_years",0.0303418827182227
"4","concomitant",1.76192912175281
"4","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",0.013654623403762
"4","SEXMale:DESCRIPTIONCheese/Cheese Prod",0.0216653229981235
"4","SEXMale:DESCRIPTIONCoffee/Tea",4.22504009588725
"4","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",0.0785814038906058
"4","SEXMale:DESCRIPTIONCosmetics",5.03436887873867
"4","SEXMale:DESCRIPTIONDietary Conventional Foods/Meal Replacements",1.6084278969778
"4","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",0.0476309429354817
"4","SEXMale:DESCRIPTIONPowder Formula",0.000572481284922958
"4","SEXMale:DESCRIPTIONSoft Drink/Water",4.2005574026934
"4","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",1.06136745855326
"5","age_in_years",0.0468917228024082
"5","concomitant",3.73720339785089
"5","SEXMale:DESCRIPTIONBaby Food Products",0.102290925538658
"5","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",0.238601299394217
"5","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",1.46856780109088
"5","SEXMale:DESCRIPTIONCereal Prep/Breakfast Food",1.0898381305658
"5","SEXMale:DESCRIPTIONCheese/Cheese Prod",1.32972717029973
"5","SEXMale:DESCRIPTIONChoc/Cocoa Prod",0.119592923375349
"5","SEXMale:DESCRIPTIONCoffee/Tea",1.69817880798642
"5","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",0.120331402659346
"5","SEXMale:DESCRIPTIONCosmetics",4.51790376932686
"5","SEXMale:DESCRIPTIONDressing/Condiment",0.0720916144313457
"5","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",0.00387690002894885
"5","SEXMale:DESCRIPTIONFruit/Fruit Prod",0.0539759637266307
"5","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",0.215968557837179
"5","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",0.996446831498643
"5","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",1.43348303178557
"5","SEXMale:DESCRIPTIONPowder Formula",0.0240917903662762
"5","SEXMale:DESCRIPTIONSoup",0.741844498381058
"5","SEXMale:DESCRIPTIONSpices, Flavors And Salts",0.364515776456757
"5","SEXMale:DESCRIPTIONWhole Grain/Milled Grain Prod/Starch",0.016921183316872
"6","SEXMale",0.11622925852527
"6","concomitant",4.16143849835912
"6","SEXMale:DESCRIPTIONBaby Food Products",3.36602968134452
"6","SEXMale:DESCRIPTIONBeverage Bases/Conc/Nectar",1.34967980900453
"6","SEXMale:DESCRIPTIONCandy W/O Choc/Special/Chew Gum",0.00427691850570819
"6","SEXMale:DESCRIPTIONColor Additiv Food/Drug/Cosmetic",1.30053308643902
"6","SEXMale:DESCRIPTIONCosmetics",6.17536796864853
"6","SEXMale:DESCRIPTIONDressing/Condiment",0.174566886822083
"6","SEXMale:DESCRIPTIONFilled Milk/Imit Milk Prod",0.313757997041716
"6","SEXMale:DESCRIPTIONFruit/Fruit Prod",0.0608265414411785
"6","SEXMale:DESCRIPTIONGelatin/Rennet/Pudding Mix/Pie Filling",0.615143820824189
"6","SEXMale:DESCRIPTIONMacaroni/Noodle Prod",1.27727179920744
"6","SEXMale:DESCRIPTIONMilk/Butter/Dried Milk Prod",0.33287731553308
"6","SEXMale:DESCRIPTIONMult Food Dinner/Grav/Sauce/Special",0.551947549478738
"6","SEXMale:DESCRIPTIONNuts/Edible Seed",0.0659851229509632
"6","SEXMale:DESCRIPTIONSpices, Flavors And Salts",0.399202610479378
"6","SEXMale:DESCRIPTIONVit/Min/Prot/Unconv Diet(Human/Animal)",0.270783414481246
